Scheme Name	Net Asset Value
Aditya Birla Sun Life ELSS Tax Saver Fund-Regular - IDCW	205.43
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option	111.8115
Axis ELSS Tax Saver Fund - Direct Plan - IDCW	56.4791
Axis ELSS Tax Saver Fund - Regular Plan - Growth	98.7461
Axis ELSS Tax Saver Fund - Regular Plan - IDCW	26.3933
BAJAJ FINSERV ELSS TAX SAVER FUND - DIRECT - GROWTH	11.661
BAJAJ FINSERV ELSS TAX SAVER FUND - DIRECT - IDCW	11.661
BAJAJ FINSERV ELSS TAX SAVER FUND - REGULAR - GROWTH	11.488
BAJAJ FINSERV ELSS TAX SAVER FUND - REGULAR - IDCW	11.488
BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth	182.768
BANDHAN ELSS Tax Saver Fund - Direct Plan - IDCW	45.136
BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth	158.500
BANDHAN ELSS Tax Saver Fund - Regular Plan - IDCW	34.165
BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth	189.02
BANK OF INDIA ELSS Tax Saver -Direct Plan-IDCW	75.49
BANK OF INDIA ELSS Tax Saver -ECO Plan-Growth	174.95
BANK OF INDIA ELSS Tax Saver -ECO Plan-IDCW	29.04
BANK OF INDIA ELSS Tax Saver -Regular Plan- Growth	161.60
BANK OF INDIA ELSS Tax Saver -Regular Plan-IDCW	31.13
BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option	113.4644
BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - IDCW Option	30.6718
BARODA BNP PARIBAS ELSS Tax Saver Fund - Regular - Growth Option	100.2352
BARODA BNP PARIBAS ELSS Tax Saver Fund- Regular - IDCW Option	24.0643
CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION	203.3800
CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - IDCW (Payout)	82.9500
CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION	181.2500
CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout)	51.0000
DSP ELSS Tax Saver Fund - Direct Plan - Growth	161.329
DSP ELSS Tax Saver Fund - Direct Plan - IDCW	96.84
DSP ELSS Tax Saver Fund - Regular Plan - Growth	144.786
DSP ELSS Tax Saver Fund - Regular Plan - IDCW	24.213
Edelweiss ELSS Tax Saver Fund - Direct Plan - IDCW Option	46.74
Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option	138.24
Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option	116.21
Edelweiss ELSS Tax Saver Fund - Regular Plan - IDCW Option	31.1
Franklin India ELSS Tax Saver Fund - Direct - Growth	1693.5138
Franklin India ELSS Tax Saver Fund - Direct - IDCW	79.8086
Franklin India ELSS Tax Saver Fund - IDCW	68.6510
Franklin India ELSS Tax Saver Fund-Growth	1514.5997
Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Dividend Option	23.04
Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option	23.08
Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout)	20.24
Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)-Regular Plan-Growth Option	20.24
HDFC ELSS Tax saver - Growth Option - Direct Plan	1587.266
HDFC ELSS Tax saver - Growth Plan	1466.58
HDFC ELSS Tax saver - IDCW Option - Direct Plan	106.408
HDFC ELSS Tax saver - IDCW Plan	78.383
HDFC Long Term Advantage Plan - Growth Option - Direct Plan	625.385
HDFC Long Term Advantage Plan - Growth Plan	595.168
HDFC Long Term Advantage Plan - IDCW Option - Direct Plan	57.515
HDFC Long Term Advantage Plan - IDCW Plan	51.722
HSBC ELSS Tax saver Fund - Direct Growth	151.0977
HSBC ELSS Tax saver Fund - Direct IDCW Payout	40.8977
HSBC ELSS Tax saver Fund - Regular Growth	138.2691
HSBC ELSS Tax saver Fund - Regular IDCW Payout	27.8719
HSBC Tax Saver Equity Fund - Growth	96.2262
HSBC Tax Saver Equity Fund - Growth Direct	108.3023
HSBC Tax Saver Equity Fund - IDCW	35.2138
HSBC Tax Saver Equity Fund - IDCW Direct Plan	39.759
ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth	1081.88
ICICI Prudential ELSS Tax Saver Fund - Direct Plan - IDCW	48.70
ICICI Prudential ELSS Tax Saver Fund - Growth	972.46
ICICI Prudential ELSS Tax Saver Fund - IDCW	24.40
Invesco India ELSS Tax Saver Fund - Direct Plan - Growth	150.88
Invesco India ELSS Tax Saver Fund - Direct Plan - IDCW Payout	32.8
Invesco India ELSS Tax Saver Fund - Regular Plan - Growth	127.04
Invesco India ELSS Tax Saver Fund - Regular Plan - IDCW Payout	24.86
ITI ELSS Tax Saver Fund - Direct Plan - Growth Option	28.0618
ITI ELSS Tax Saver Fund - Direct Plan - IDCW Option	25.8764
ITI ELSS Tax Saver Fund - Regular Plan - Growth Option	24.8443
ITI ELSS Tax Saver Fund - Regular Plan - IDCW Option	22.7979
JM ELSS Tax Saver Fund (Direct) - Growth Option	58.385
JM ELSS Tax Saver Fund (Direct) - IDCW	56.9455
JM ELSS Tax Saver Fund (Regular) - Growth option	50.8839
JM ELSS Tax Saver Fund (Regular) - IDCW	50.8832
Kotak ELSS Tax Saver Fund-Growth	118.505
Kotak ELSS Tax Saver Fund-Growth - Direct	139.378
Kotak ELSS Tax Saver Fund-Payout of Income Distribution cum capital withdrawal option	44.35
Kotak ELSS Tax Saver Fund-Payout of Income Distribution cum capital withdrawal option - Direct	58.385
LIC MF ELSS Tax Saver-Direct Plan-Growth	176.8795
LIC MF ELSS Tax Saver-Direct Plan-IDCW	39.061
LIC MF ELSS Tax Saver-Regular Plan-Growth	154.2846
LIC MF ELSS Tax Saver-Regular Plan-IDCW	32.2984
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (10 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (10 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (15Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment	36.8326
LIC MF ULIS (5 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment	41.0993
LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment	36.8326
Mahindra Manulife ELSS Tax Saver Fund - Direct Plan -Growth	34.7237
Mahindra Manulife ELSS Tax Saver Fund - Regular Plan - IDCW	19.0742
Mahindra Manulife ELSS Tax Saver Fund- Direct Plan - IDCW	23.4977
Mahindra Manulife ELSS Tax Saver Fund- Regular Plan - Growth	29.4398
Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth	58.224
Mirae Asset ELSS Tax Saver Fund - Direct Plan - IDCW	31.890
Mirae Asset ELSS Tax Saver Fund - Regular Plan - Growth	51.287
Mirae Asset ELSS Tax Saver Fund - Regular Plan - IDCW	27.009
Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option	59.8890
Motilal Oswal ELSS Tax Saver Fund - IDCW Payout	30.8800
Motilal Oswal ELSS Tax Saver Fund - Regular Plan - Growth Option	52.0557
Motilal Oswal ELSS Tax Saver Fund Direct - IDCW Payout	39.7973
Navi ELSS Tax Saver Fund - Direct Plan IDCW Payout	35.2857
Navi ELSS Tax Saver Fund - Regular Plan IDCW Payout	29.9344
Navi ELSS Tax Saver Fund- Direct Plan- Growth Option	35.7319
Navi ELSS Tax Saver Fund- Regular Plan- Growth Option	29.9374
NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH	15.8395
NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN IDCW PAYOUT	15.8467
NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - REGULAR PLAN GROWTH	15.4282
NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - REGULAR PLAN IDCW PAYOUT	15.4891
NIPPON INDIA TAX SAVER (ELSS) FUND - ANNUAL IDCW Option	22.2716
NIPPON INDIA TAX SAVER (ELSS) FUND - DIRECT Plan - ANNUAL IDCW Option	24.2546
NIPPON INDIA TAX SAVER (ELSS) FUND - DIRECT Plan - IDCW Option	49.0993
NIPPON INDIA TAX SAVER (ELSS) FUND - IDCW Option	36.6383
Nippon India Tax Saver (ELSS) Fund-Growth Plan-Growth Option	132.2748
Nippon India Tax Saver Fund - Direct Plan Growth Plan - Growth Option	145.5411
NJ ELSS Tax Saver Scheme Direct Growth	14.82
NJ ELSS Tax Saver Scheme Direct IDCW	14.82
NJ ELSS Tax Saver Scheme Regular Growth	14.18
NJ ELSS Tax Saver Scheme Regular IDCW	14.18
PGIM India ELSS Tax Saver Fund - Direct Plan - Dividend Option	19.91
PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option	41
PGIM India ELSS Tax Saver Fund - Regular Plan - Dividend Option	18.64
PGIM India ELSS Tax Saver Fund - Regular Plan - Growth Option	35.63
Parag Parikh ELSS Tax Saver Fund- Direct Growth	34.5433
Parag Parikh ELSS Tax Saver Fund- Regular Growth	32.0158
quant ELSS Tax Saver Fund - Growth Option - Direct Plan	428.4429
quant ELSS Tax Saver Fund - Growth Option - Regular Plan	381.5046
quant ELSS Tax Saver Fund - IDCW Option - Direct Plan	57.1137
quant ELSS Tax Saver Fund - IDCW Option - Regular Plan	52.9762
Quantum ELSS Tax Saver Fund - Direct Plan Growth Option	133.35
Quantum ELSS Tax Saver Fund - Direct Plan IDCW	132.49
Quantum ELSS Tax Saver Fund - Regular Plan Growth Option	126.68
Quantum ELSS Tax Saver Fund - Regular Plan IDCW	125.82
Samco ELSS Tax Saver Fund - Direct Plan - Growth Option	13.45
Samco ELSS Tax Saver Fund - Regular Plan - Growth Option	12.90
SBI ELSS Tax Saver Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	121.1634
SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH	489.1760
SBI ELSS Tax Saver Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	91.5652
SBI ELSS Tax Saver FUND - REGULAR PLAN- GROWTH	451.6388
Shriram ELSS Tax Saver Fund - Direct Growth	24.4867
Shriram ELSS Tax Saver Fund - Direct- IDCW	24.3009
Shriram ELSS Tax Saver Fund - Regular Growth	21.6809
Shriram ELSS Tax Saver Fund - Regular-IDCW	21.6837
Sundaram ELSS Tax Saver Fund Direct Plan - Income Distribution CUM Capital Withdrawal Option (IDCW)	565.9998
Sundaram ELSS Tax Saver Fund Direct Plan Growth	566.5764
Sundaram ELSS Tax Saver Fund Regular Growth	529.0182
Sundaram ELSS Tax Saver Fund Regular Plan - Income Distribution CUM Capital Withdrawal Option (IDCW)	424.2416
Tata ELSS Fund- Direct Plan - Payout of IDCW Option	239.4508
Tata ELSS Fund- Regular Plan - Payout of IDCW Option	103.8170
Tata ELSS Fund-Growth-Direct Plan	53.3116
Tata ELSS Fund-Growth-Regular Plan	46.3904
Taurus ELSS Tax Saver Fund - Direct Plan - Growth	204.61
Taurus ELSS Tax Saver Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option	94.30
Taurus ELSS Tax Saver Fund - Regular Plan - Growth	187.29
Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	87.74
Union ELSS Tax Saver Fund - Direct Plan - Growth Option	73.00
Union ELSS Tax Saver Fund - Direct Plan - IDCW Option	73.00
Union ELSS Tax Saver Fund - Growth Option	67.00
Union ELSS Tax Saver Fund - IDCW Option	37.46
UTI ELSS Tax Saver Fund - Direct Plan - Growth Option	236.8325
UTI ELSS Tax Saver Fund - Direct Plan - IDCW	55.8127
UTI ELSS Tax Saver Fund - Regular Plan - Growth Option	210.8496
UTI ELSS Tax Saver Fund - Regular Plan - IDCW	40.2809
WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth	19.091
WhiteOak Capital ELSS Tax Saver Fund Direct Plan IDCW	19.091
WhiteOak Capital ELSS Tax Saver Fund Regular Plan Growth	18.098
WhiteOak Capital ELSS Tax Saver Fund Regular Plan IDCW	18.098
360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH	16.0249
360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW	16.0249
360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH	15.4264
360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW	15.4264
Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan	2111.46
Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan	1883.95
Aditya Birla Sun Life Flexi Cap Fund -DIRECT - IDCW	229.89
Aditya Birla Sun Life Flexi Cap Fund -Regular - IDCW	162.3
Axis Flexi Cap Fund - Direct Plan - Growth	30.11
Axis Flexi Cap fund - Direct Plan - IDCW	19.64
Axis Flexi Cap Fund - Regular Plan - Growth	27.17
Axis Flexi Cap Fund - Regular Plan - IDCW	17.90
Bajaj Finserv Flexi Cap Fund -Regular Plan-Growth	15.182
Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth	15.683
Bajaj Finserv Flexi Cap Fund-Direct Plan-IDCW	15.683
Bajaj Finserv Flexi Cap Fund-Regular Plan-IDCW	15.182
BANDHAN Flexi Cap Fund - Regular Plan - Growth	216.348
BANDHAN Flexi Cap Fund - Regular Plan - IDCW	51.665
BANDHAN Flexi Cap Fund-Direct Plan-Growth	237.151
BANDHAN Flexi Cap Fund-Direct Plan-IDCW	56.428
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth	38.65
BANK OF INDIA Flexi Cap Fund Direct Plan -IDCW	33.03
BANK OF INDIA Flexi Cap Fund Regular Plan -Growth	35.51
BANK OF INDIA Flexi Cap Fund Regular Plan -IDCW	32.26
Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option	16.7302
Baroda BNP Paribas Flexi Cap Fund - Direct Plan - IDCW Option	15.2622
Baroda BNP Paribas Flexi Cap Fund - Regular Plan - Growth Option	15.9751
Baroda BNP Paribas Flexi Cap Fund - Regular Plan - IDCW Option	14.5749
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION	397.5200
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	93.8300
CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION	353.0200
CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	61.4800
CAPITALMIND FLEXI CAP FUND DIRECT GROWTH	10.2229
CAPITALMIND FLEXI CAP FUND REGULAR GROWTH	10.1777
DSP Flexi Cap Fund - Direct Plan - Growth	117.833
DSP Flexi Cap Fund - Direct Plan - IDCW	94.574
DSP Flexi Cap Fund - Regular Plan - Growth	105.576
DSP Flexi Cap Fund - Regular Plan - IDCW	65.324
Edelweiss Flexi Cap Fund - Direct Plan - Growth Option	46.198
Edelweiss Flexi Cap Fund - Direct Plan - IDCW Option	37.928
Edelweiss Flexi Cap Fund - Regular - IDCW Option	32.621
Edelweiss Flexi Cap Fund - Regular Plan - Growth Option	39.728
Franklin India Flexi Cap Fund - Direct - Growth	1879.8573
Franklin India Flexi Cap Fund - Direct - IDCW 	78.2779
Franklin India Flexi Cap Fund - Growth	1683.7995
Franklin India Flexi Cap Fund - IDCW 	69.4268
HDFC Flexi Cap Fund - Growth Option - Direct Plan	2281.66
HDFC Flexi Cap Fund - Growth Plan	2081.961
HDFC Flexi Cap Fund - IDCW Option - Direct Plan	99.551
HDFC Flexi Cap Fund - IDCW Plan	82.529
Helios Flexi Cap Fund - Direct Plan - Growth Option	15.82
Helios Flexi Cap Fund - Direct Plan - IDCW Option	15.81
Helios Flexi Cap Fund - Regular Plan - Growth Option	15.35
Helios Flexi Cap Fund - Regular Plan - IDCW Option	15.35
HSBC Flexi Cap Fund - Direct Growth	250.3728
HSBC Flexi Cap Fund - Direct IDCW	49.8644
HSBC Flexi Cap Fund - Regular Growth	223.8798
HSBC Flexi Cap Fund - Regular IDCW	45.9531
ICICI Prudential Flexicap Fund - Direct Plan - Growth	21.10
ICICI Prudential Flexicap Fund - Direct Plan - IDCW	19.38
ICICI Prudential Flexicap Fund - Growth	20.05
ICICI Prudential Flexicap Fund - IDCW	18.33
Invesco India Flexi Cap Fund - Direct Plan - Growth	20.53
Invesco India Flexi Cap Fund - Direct Plan - IDCW	20.53
Invesco India Flexi Cap Fund - Regular Plan - Growth	19.36
Invesco India Flexi Cap Fund - Regular Plan - IDCW	19.37
ITI Flexi Cap Fund- Direct Plan- Growth	19.2301
ITI Flexi Cap Fund- Direct Plan- IDCW	19.2301
ITI Flexi Cap Fund- Regular Plan- Growth	18.3194
ITI Flexi Cap Fund- Regular Plan- IDCW	18.3194
JioBlackRock Flexi Cap Fund - Direct Plan - Growth Option	10.27
JM Flexicap Fund (Direct) - Growth Option	112.9135
JM Flexicap Fund (Direct) - IDCW	102.6328
JM Flexicap Fund (Regular) - Growth option	98.7894
JM Flexicap Fund (Regular) - IDCW	76.1249
Kotak Flexicap Fund - Growth	87.806
Kotak Flexicap Fund - Growth - Direct	99.218
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option	53.021
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct	60.594
LIC MF Flexi Cap Fund-Direct Plan-Growth	114.614
LIC MF Flexi Cap Fund-Direct Plan-IDCW	38.5681
LIC MF Flexi Cap Fund-Regular Plan-Growth	103.6869
LIC MF Flexi Cap Fund-Regular Plan-IDCW	32.7196
Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth	18.1011
Mahindra Manulife Flexi Cap Fund - Direct Plan -IDCW	15.6603
Mahindra Manulife Flexi Cap Fund - Regular Plan -Growth	16.7473
Mahindra Manulife Flexi Cap Fund - Regular Plan -IDCW	14.3551
Mirae Asset Flexi Cap Fund - Direct Plan -  IDCW	17.133
Mirae Asset Flexi Cap Fund - Direct Plan - Growth	17.183
Mirae Asset Flexi Cap Fund - Regular Plan - Growth	16.494
Mirae Asset Flexi Cap Fund - Regular Plan - IDCW	16.500
Motilal Oswal Flexi Cap Fund Direct - IDCW Payout/Reinvestment	36.8869
Motilal Oswal Flexi cap Fund Direct Plan-Growth Option	69.3746
Motilal Oswal Flexi cap Fund Regular - IDCW Payout/Reinvestment	35.2370
Motilal Oswal Flexi Cap Fund Regular Plan-Growth Option	62.4108
Navi Flexi Cap Fund - Direct Plan - Growth	27.368
NAVI FLEXI CAP FUND - DIRECT PLAN ANNUAL IDCW PAYOUT	27.1594
NAVI FLEXI CAP FUND - DIRECT PLAN HALF YEARLY IDCW PAYOUT	27.1601
NAVI FLEXI CAP FUND - DIRECT PLAN MONTHLY IDCW PAYOUT	27.1544
NAVI FLEXI CAP FUND - DIRECT PLAN NORMAL IDCW PAYOUT	27.1256
NAVI FLEXI CAP FUND - DIRECT PLAN QUARTERLY IDCW PAYOUT	27.1809
Navi Flexi Cap Fund - Regular Plan - Growth	23.6752
NAVI FLEXI CAP FUND - REGULAR PLAN ANNUAL IDCW PAYOUT	23.6757
NAVI FLEXI CAP FUND - REGULAR PLAN HALF YEARLY IDCW PAYOUT	23.6788
NAVI FLEXI CAP FUND - REGULAR PLAN MONTHLY IDCW PAYOUT	23.6845
NAVI FLEXI CAP FUND - REGULAR PLAN NORMAL IDCW PAYOUT	23.6786
NAVI FLEXI CAP FUND - REGULAR PLAN QUARTERLY IDCW PAYOUT	23.6725
Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option	18.0623
Nippon India Flexi Cap Fund - Direct Plan - IDCW Option	18.0623
Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option	17.0016
Nippon India Flexi Cap Fund - Regular Plan - IDCW Option	17.0016
NJ Flexi Cap Fund - Direct Plan - Growth Option	13.87
NJ Flexi Cap Fund - Direct Plan - IDCW Option	13.87
NJ Flexi Cap Fund - Regular Plan - Growth Option	13.39
NJ Flexi Cap Fund - Regular Plan - IDCW Option	13.39
PGIM India Flexi Cap Fund - Direct Plan - Dividend Option	22.71
PGIM India Flexi Cap Fund - Direct Plan - Growth Option	43.91
PGIM India Flexi Cap Fund - Regular Plan - Dividend Option	20.01
PGIM India Flexi Cap Fund - Regular Plan - Growth Option	37.39
Parag Parikh Flexi Cap Fund - Direct Plan - Growth	94.9954
Parag Parikh Flexi Cap Fund - Direct Plan - IDCW	94.9952
Parag Parikh Flexi Cap Fund - Regular Plan - Growth	86.9678
Parag Parikh Flexi Cap Fund - Regular Plan - IDCW	86.9678
quant Flexi Cap Fund - Growth Option - Regular Plan	100.123
quant Flexi Cap Fund - Growth Option-Direct Plan	111.7348
quant Flexi Cap Fund - IDCW Option - Direct Plan	75.9518
quant Flexi Cap Fund - IDCW Option - Regular Plan	71.5598
Samco Flexi Cap Fund - Direct Plan - Growth Option	10.53
Samco Flexi Cap Fund - Regular Plan - Growth Option	9.96
SBI Flexicap Fund - DIRECT PLAN - Growth Option	126.8770
SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	63.4169
SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	50.7156
SBI Flexicap Fund - REGULAR PLAN -Growth Option	113.2610
Shriram Flexi Cap Fund - Direct Growth	23.5414
Shriram Flexi Cap Fund - Direct-IDCW	23.3099
Shriram Flexi Cap Fund - Regular Growth	20.7396
Shriram Flexi Cap Fund - Regular-IDCW	20.7351
Sundaram Flexicap Fund Direct Growth	16.1004
Sundaram Flexicap Fund Direct Plan IDCW Payout	15.2717
Sundaram Flexicap Fund Direct Plan IDCW Reinvestment	15.2717
Sundaram Flexicap Fund Regular Growth	15.3144
Sundaram Flexicap Fund Regular Plan IDCW Payout	14.5264
Sundaram Flexicap Fund Regular Plan IDCW Reinvestment	14.5264
TATA Flexi Cap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option 	27.8619
Tata Flexi Cap Fund -Regular Plan-Growth	24.9820
TATA Flexi Cap Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option	27.8619
TATA Flexi Cap Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	24.9820
TATA Flexi Cap Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	24.9820
Tata Flexi Cap Fund-Direct Plan-Growth	27.8619
Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option	120.70
Taurus Flexi Cap Fund - Direct Plan - Growth	239.24
Taurus Flexi Cap Fund - Regular Plan - Growth 	229.91
Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	111.57
THE WEALTH COMPANY FLEXI CAP FUND - DIRECT GROWTH	10.18
THE WEALTH COMPANY FLEXI CAP FUND - DIRECT IDCW	10.18
THE WEALTH COMPANY FLEXI CAP FUND - REGULAR GROWTH	10.15
THE WEALTH COMPANY FLEXI CAP FUND - REGULAR IDCW	10.15
TRUSTMF Flexi Cap Fund-Direct Plan- Growth	12.06
TRUSTMF Flexi Cap Fund-Direct Plan- IDCW	12.06
TRUSTMF Flexi Cap Fund-Regular Plan- Growth	11.74
TRUSTMF Flexi Cap Fund-Regular Plan- IDCW	11.74
Unifi Flexi Cap Fund - Direct Growth	10.3832
Unifi Flexi Cap Fund - Regular Growth	10.3186
Union Flexi Cap Fund - Direct Plan - Growth Option	58.36
Union Flexi Cap Fund - Direct Plan - IDCW Option	50.98
Union Flexi Cap Fund - Growth Option	52.21
Union Flexi Cap Fund - IDCW Option	32.97
UTI - Flexi Cap Fund-Growth Option	328.8372
UTI - Flexi Cap Fund-Growth Option - Direct	353.5058
UTI Flexi Cap Fund - Direct Plan - IDCW	235.2524
UTI Flexi Cap Fund - Regular Plan - IDCW	217.4062
WhiteOak Capital Flexi Cap Fund Direct Plan IDCW	18.959
WhiteOak Capital Flexi Cap Fund Direct Plan-Growth	18.959
